station=428670 
Lat = 21.1 N 
Lon = 79.05 E 
Year,Annual mean temperature 
2006,19.73
2007,20.328
2008,19.111
2009,19.92
2010,19.005
2011,19.047
2012,19.604
2013,20.595
2014,19.628
2015,20.19
2016,20.452
2017,19.546
2018,20.066
2019,19.152
2020,20.594
2021,19.585
2022,20.256
2023,20.64
2024,20.547
2025,20.726
2026,21.55
2027,20.617
2028,20.562
2029,20.836
2030,20.578
2031,19.95
2032,21.39
2033,20.828
2034,20.103
2035,20.238
2036,21.131
2037,20.236
2038,20.864
2039,20.916
2040,20.526
2041,21.72
2042,21.016
2043,21.985
2044,23
2045,20.673
2046,23.376
2047,20.772
2048,22.098
2049,20.365
2050,22.041
2051,22.801
2052,20.77
2053,22.149
2054,21.624
2055,22.574
2056,22.589
2057,22.355
2058,23.211
2059,23.596
2060,21.829
2061,23.661
2062,23.228
2063,23.485
2064,21.801
2065,22.796
2066,23.015
2067,23.406
2068,23.321
2069,22.47
2070,23.647
2071,23.345
2072,22.554
2073,23.351
2074,23.383
2075,23.305
2076,23.581
2077,24.281
2078,22.131
2079,23.416
2080,24.196
2081,22.891
2082,24.2
2083,24.382
2084,24.493
2085,24.668
2086,24.679
2087,24.103
2088,25.08
2089,25.817
2090,24.1
2091,24.573
2092,25.01
2093,24.315
2094,25.043
2095,25.164
2096,24.863
2097,25.293
2098,24.775
2099,24.581
