station=727930 
Lat = 47.6 N 
Lon = 122.33 W 
Year,Annual mean temperature 
2006,26.782
2007,26.408
2008,26.729
2009,27.32
2010,26.519
2011,26.119
2012,26.652
2013,27.435
2014,26.138
2015,26.716
2016,26.33
2017,26.547
2018,27.133
2019,26.541
2020,27.581
2021,27.179
2022,27.093
2023,28.486
2024,27.272
2025,28.039
2026,27.303
2027,26.492
2028,26.876
2029,27.462
2030,27.581
2031,27.114
2032,28.673
2033,28.195
2034,27.233
2035,27.738
2036,28.012
2037,27.863
2038,28.778
2039,27.927
2040,28.521
2041,27.801
2042,27.128
2043,29.369
2044,29.961
2045,27.842
2046,28.424
2047,29.656
2048,29.231
2049,28.049
2050,29.295
2051,28.609
2052,30.344
2053,30.585
2054,28.091
2055,29.86
2056,29.762
2057,29.102
2058,30.236
2059,29.468
2060,30.201
2061,30.632
2062,30.028
2063,30.592
2064,29.729
2065,30.832
2066,30.731
2067,31.048
2068,30.241
2069,30.828
2070,30.696
2071,32.405
2072,30.842
2073,30.596
2074,31.597
2075,30.604
2076,31.107
2077,31.06
2078,30.092
2079,31.312
2080,30.379
2081,30.936
2082,31.361
2083,32.112
2084,32.122
2085,32.446
2086,31.931
2087,31.524
2088,31.571
2089,32.648
2090,31.985
2091,32.126
2092,31.519
2093,32.109
2094,33.039
2095,32.416
2096,32.747
2097,32.703
2098,32.088
2099,31.615
