station=859340 
Lat = 53 S 
Lon = 70.85 W 
Year,Annual mean temperature 
2006,17.1
2007,18.007
2008,15.743
2009,16.731
2010,15.746
2011,17.303
2012,19.958
2013,17.857
2014,16.938
2015,16.79
2016,15.56
2017,17.234
2018,16.796
2019,17.465
2020,16.096
2021,17.742
2022,17.889
2023,17.599
2024,16.622
2025,18.263
2026,16.768
2027,17.093
2028,18.17
2029,18.305
2030,18.387
2031,19.137
2032,17.89
2033,16.503
2034,17.089
2035,19.286
2036,19.901
2037,18.83
2038,17.49
2039,19.01
2040,17.623
2041,18.011
2042,18.134
2043,16.636
2044,17.462
2045,18.778
2046,17.004
2047,19.22
2048,18.938
2049,18.964
2050,18.552
2051,18.499
2052,20.018
2053,18.517
2054,20.164
2055,18.015
2056,19.978
2057,19.423
2058,19.013
2059,18.643
2060,19.515
2061,18.866
2062,19.307
2063,18.88
2064,21.328
2065,18.914
2066,18.732
2067,18.061
2068,19.143
2069,19.169
2070,19.26
2071,18.486
2072,19.918
2073,19.885
2074,20.144
2075,21.121
2076,21.172
2077,18.756
2078,19.998
2079,19.726
2080,21.18
2081,19.864
2082,20.65
2083,18.862
2084,21.349
2085,19.995
2086,19.717
2087,20.885
2088,21.768
2089,19.754
2090,20.436
2091,20.622
2092,19.432
2093,19.746
2094,19.371
2095,19.726
2096,20.57
2097,21.048
2098,21.385
2099,21.442
