station=873440 
Lat = 31.32 S 
Lon = 64.22 W 
Year,Annual mean temperature 
2006,25.196
2007,25.774
2008,25.198
2009,25.216
2010,25.388
2011,25.036
2012,26.294
2013,25.101
2014,25.949
2015,25.487
2016,25.67
2017,25.176
2018,25.833
2019,25.937
2020,25.961
2021,25.796
2022,26.337
2023,25.718
2024,25.864
2025,25.978
2026,25.9
2027,25.742
2028,26.426
2029,26.442
2030,25.912
2031,26.488
2032,26.312
2033,25.934
2034,26.243
2035,26.071
2036,26.389
2037,26.584
2038,27.039
2039,26.315
2040,27.355
2041,26.795
2042,27.284
2043,27.108
2044,26.619
2045,27.252
2046,26.886
2047,27.09
2048,26.581
2049,26.873
2050,27.51
2051,27.627
2052,27.429
2053,26.789
2054,27.35
2055,27.656
2056,27.451
2057,27.842
2058,27.29
2059,27.574
2060,28.018
2061,27.781
2062,27.377
2063,27.665
2064,27.654
2065,28.383
2066,28.139
2067,28.366
2068,27.851
2069,28.859
2070,28.805
2071,28.111
2072,28.684
2073,28.714
2074,28.172
2075,28.934
2076,29.349
2077,28.576
2078,28.844
2079,28.903
2080,28.029
2081,29.253
2082,29.308
2083,28.633
2084,29.299
2085,28.656
2086,28.262
2087,29.402
2088,29.206
2089,28.755
2090,29.512
2091,29.673
2092,29.614
2093,29.299
2094,29.47
2095,28.764
2096,29.516
2097,29.976
2098,29.722
2099,29.547
