station=936150 
Lat = 42.72 S 
Lon = 170.98 E 
Year,Annual mean temperature 
2006,7.8414
2007,8.6314
2008,7.2727
2009,8.9582
2010,7.8769
2011,8.2595
2012,8.2923
2013,9.2297
2014,8.3082
2015,7.0814
2016,7.8555
2017,8.355
2018,9.0342
2019,9.5655
2020,9.1623
2021,7.9008
2022,9.0843
2023,7.8418
2024,8.0248
2025,8.9621
2026,10.153
2027,10.038
2028,8.9596
2029,8.7146
2030,9.3833
2031,9.3299
2032,9.7647
2033,9.0413
2034,9.9812
2035,8.7147
2036,8.9717
2037,9.4085
2038,8.3151
2039,9.6045
2040,10.136
2041,10.377
2042,10.087
2043,9.7403
2044,10.337
2045,8.6841
2046,10.05
2047,8.9664
2048,10.51
2049,10.423
2050,10.244
2051,12.402
2052,11.103
2053,11.378
2054,12.502
2055,11.393
2056,10.892
2057,11.747
2058,12.51
2059,11.913
2060,11.549
2061,10.943
2062,10.413
2063,12.763
2064,11.736
2065,12.08
2066,13.047
2067,12.847
2068,12.115
2069,11.561
2070,13.007
2071,12.88
2072,12.522
2073,12.939
2074,13.264
2075,13.634
2076,12.97
2077,12.706
2078,12.735
2079,13.17
2080,12.746
2081,13.268
2082,13.306
2083,14.318
2084,13.555
2085,14.359
2086,13.96
2087,13.277
2088,13.468
2089,13.6
2090,14.66
2091,14.232
2092,13.814
2093,14.938
2094,14.22
2095,14.674
2096,14.137
2097,14.943
2098,14.95
2099,13.709
